ROW,SEX,AGE,HEIGHT,WEIGHT
200,m,16.6,62,91
201,m,15,59,98
202,m,15,61.8,118
203,m,18.8,63.3,115.5
204,m,16.3,66,112
205,m,17.1,61.8,112
206,m,16.2,63,91
207,m,14.1,57.5,85
208,m,17.4,63,112
209,m,14.2,56,87.5
210,m,14.8,60.5,118
211,m,14,56.8,83.5
212,m,16,64,116
213,m,14.4,60,89
214,m,20.6,69.5,171.5
215,m,15.9,63.3,112
216,m,14.9,56.3,72
217,m,19.3,72,150
218,m,19.4,65.3,134.5
219,m,15.2,60.8,97
220,m,14.6,55,71.5
221,m,13.9,55,73.5
222,m,18.6,66.5,112
223,m,16.1,56.8,75
224,m,15.3,64.8,128
225,m,19.6,64.5,98
226,m,16.4,58,84
227,m,15.9,62.8,99
228,m,17.8,63.8,112
229,m,15.3,57.8,79.5
230,m,15.5,57.3,80.5
231,m,17.8,63.5,102.5
232,m,14.2,55,76
233,m,16.4,66.5,112
234,m,18.9,65,114
235,m,16.4,61.5,140
236,m,16.7,62,107.5
237,m,15.1,59.3,87
