"cds","stype","name","sname","snum","dname","dnum","cname","cnum","flag","pcttest","api00","api99","target","growth","sch.wide","comp.imp","both","awards","meals","ell","yr.rnd","mobility","acs.k3","acs.46","acs.core","pct.resp","not.hsg","hsg","some.col","col.grad","grad.sch","avg.ed","full","emer","enroll","api.stu","pw","fpc"
"49708546051965","E","McKinley Elemen","McKinley Elementary",5647,"Petaluma City Elementary",547,"Sonoma",48,,100,630,612,9,18,"Yes","No","No","No",52,26,,17,22,26,,93,25,24,31,15,5,2.50999999046326,100,0,213,169,30.97,6194
"15635456009641","E","Kernville Eleme","Kernville Elementary",973,"Kernville Union Elem",335,"Kern",14,,98,742,696,5,46,"Yes","Yes","Yes","Yes",57,0,,15,17,24,,100,11,33,32,13,12,2.82999992370605,100,0,151,122,30.97,6194
"10621176005854","E","Dry Creek Eleme","Dry Creek Elementary",590,"Clovis Unified",140,"Fresno",9,,99,842,833,,9,"Yes","Yes","Yes","Yes",15,6,,13,20,35,,95,3,21,23,39,14,3.41000008583069,94,6,567,519,30.97,6194
"19647336020010","E","Wonderland Aven","Wonderland Avenue Elementary",1993,"Los Angeles Unified",401,"Los Angeles",18,,100,903,891,,12,"Yes","Yes","Yes","Yes",14,16,,22,19,30,,81,0,8,11,54,28,4.01999998092651,75,25,339,324,30.97,6194
"19647336019186","E","Sherman Oaks El","Sherman Oaks Elementary",1911,"Los Angeles Unified",401,"Los Angeles",18,,100,720,708,5,12,"Yes","No","No","No",21,13,,20,19,27,,72,5,22,18,37,18,3.41000008583069,81,11,632,570,30.97,6194
"15633396009229","M","Beardsley Junio","Beardsley Junior High",908,"Beardsley Elementary",51,"Kern",14,,100,634,602,10,32,"Yes","Yes","Yes","Yes",74,2,,18,,,26,97,34,43,16,7,0,1.97000002861023,93,7,318,250,30.97,6194
"34674216033757","E","Taylor Street E","Taylor Street Elementary",3727,"Robla Elementary",606,"Sacramento",33,,100,529,550,13,-21,"No","No","No","No",78,17,,3,20,29,,94,34,47,12,6,1,1.92999994754791,96,4,454,439,30.97,6194
"19642876011407","E","Deanza Elementa","Deanza Elementary",1169,"Baldwin Park Unified",42,"Los Angeles",18,,100,540,457,17,83,"Yes","Yes","Yes","Yes",90,66,,13,20,31,,0,0,0,0,0,0,,69,26,641,582,30.97,6194
"37680236037865","E","Halecrest Eleme","Halecrest Elementary",4295,"Chula Vista Elementary",135,"San Diego",36,,100,795,758,2,37,"Yes","Yes","Yes","Yes",26,14,,23,19,28,,0,0,0,0,0,0,,97,3,407,353,30.97,6194
"37683386040190","E","King (Martin Lu","King (Martin Luther) Elementary",4551,"San Diego City Unified",630,"San Diego",36,,100,485,406,20,79,"Yes","Yes","Yes","Yes",100,78,,24,21,29,,84,76,14,8,2,1,1.38999998569489,84,7,508,489,30.97,6194
"01611766000764","E","Hirsch (O. N.) ","Hirsch (O. N.) Elementary",67,"Fremont Unified",248,"Alameda",1,,100,734,749,3,-15,"No","No","No","No",22,10,,19,26,29,,95,6,12,32,37,13,3.39000010490417,81,19,297,266,30.97,6194
"37679916037683","E","Lexington Eleme","Lexington Elementary",4275,"Cajon Valley Union Elem",98,"San Diego",36,,98,665,592,10,73,"Yes","Yes","Yes","Yes",77,18,,29,19,33,,65,16,35,34,12,4,2.52999997138977,100,10,343,293,30.97,6194
"37683383731585","H","Crawford Senior","Crawford Senior High",4466,"San Diego City Unified",630,"San Diego",36,,100,541,537,13,4,"No","No","No","No",90,50,,12,,,,74,41,24,21,12,3,2.11999988555908,94,4,1067,956,30.97,6194
"56737596055933","E","Conejo Elementa","Conejo Elementary",6114,"Conejo Valley Unified",154,"Ventura",55,,99,642,560,12,82,"Yes","Yes","Yes","Yes",45,36,,15,19,27,,96,22,26,21,24,7,2.6800000667572,100,0,348,301,30.97,6194
"19645681932144","H","Crescenta Valle","Crescenta Valley Senior High",1351,"Glendale Unified",266,"Los Angeles",18,,99,758,759,2,-1,"No","No","No","No",10,12,,10,,,28,91,3,11,28,32,27,3.70000004768372,89,11,1678,1563,30.97,6194
"01612596111660","M","Oakland Charter","Oakland Charter Academy",230,"Oakland Unified",507,"Alameda",1,,100,425,413,19,12,"No","No","No","No",0,89,,4,,24,26,84,61,26,12,1,0,1.53999996185303,33,42,161,160,30.97,6194
"21654176058614","M","Sinaloa Middle","Sinaloa Middle",2601,"Novato Unified",499,"Marin",20,,99,878,874,,4,"Yes","Yes","Yes","Yes",4,2,,3,,28,28,98,2,4,23,42,30,3.95000004768372,100,0,767,735,30.97,6194
"43696746048797","E","Bowers Elementa","Bowers Elementary",5394,"Santa Clara Unified",656,"Santa Clara",42,,99,691,682,6,9,"Yes","No","No","No",39,26,,12,19,30,,91,9,29,28,26,8,2.95000004768372,96,0,319,283,30.97,6194
"19642876011464","E","Heath (Margaret","Heath (Margaret) Elementary",1175,"Baldwin Park Unified",42,"Los Angeles",18,,100,558,515,14,43,"Yes","Yes","Yes","Yes",83,54,,10,21,31,,0,0,0,0,0,0,,68,36,393,381,30.97,6194
"15635291530252","H","Arvin High","Arvin High",959,"Kern Union High",334,"Kern",14,,97,424,409,20,15,"No","No","No","No",72,42,,5,,,27,87,64,19,10,6,1,1.60000002384186,92,25,1656,968,30.97,6194
"33669933330479","H","Beaumont Senior","Beaumont Senior High",3358,"Beaumont Unified",52,"Riverside",32,,99,641,612,9,29,"Yes","Yes","Yes","Yes",35,2,,24,,,27,95,14,30,32,16,8,2.74000000953674,90,10,626,479,30.97,6194
"19649076058523","M","Simons Middle","Simons Middle",2285,"Pomona Unified",570,"Los Angeles",18,,100,462,470,17,-8,"No","No","No","No",87,63,,28,,31,31,84,71,16,8,5,0,1.49000000953674,69,31,1214,992,30.97,6194
"19649316022164","E","Shuey (Emma W.)","Shuey (Emma W.) Elementary",2295,"Rosemead Elementary",613,"Los Angeles",18,,100,749,724,4,25,"Yes","Yes","Yes","Yes",66,25,,12,21,29,,86,33,55,0,10,2,1.92999994754791,78,25,461,395,30.97,6194
"30665066028054","E","Golden Hill Ele","Golden Hill Elementary",2945,"Fullerton Elementary",255,"Orange",29,,100,715,682,6,33,"Yes","Yes","Yes","Yes",34,27,,15,23,30,,93,16,17,25,24,18,3.10999989509583,93,7,489,439,30.97,6194
"27754406105472","E","Gabilan Element","Gabilan Elementary",2805,"Soledad Unified",693,"Monterey",26,,100,498,425,19,73,"Yes","Yes","Yes","Yes",87,63,,25,20,30,,88,42,27,21,8,2,2.01999998092651,72,9,664,494,30.97,6194
"51714646067268","E","Butte Vista Ele","Butte Vista Elementary",5836,"Yuba City Unified",832,"Sutter",50,,99,744,722,4,22,"Yes","Yes","Yes","Yes",21,4,,29,18,28,,76,6,17,22,39,16,3.40000009536743,88,6,225,159,30.97,6194
"34673636059224","M","Don Julio Junio","Don Julio Junior High",3682,"Grant Joint Union High",275,"Sacramento",33,,90,564,532,13,32,"Yes","No","No","No",52,4,,5,,,26,89,14,35,29,20,1,2.58999991416931,78,23,740,288,30.97,6194
"07617966004907","E","Peres Elementar","Peres Elementary",483,"West Contra Costa Unified",796,"Contra Costa",6,,98,448,391,20,57,"Yes","Yes","Yes","Yes",93,34,,24,20,33,,89,34,54,11,1,0,1.78999996185303,72,13,453,385,30.97,6194
"36678506059448","M","Frisbie Middle","Frisbie Middle",4105,"Rialto Unified",590,"San Bernardino",35,,99,496,479,16,17,"Yes","No","No","No",69,25,,26,,32,30,0,0,0,0,0,0,,84,18,1293,1035,30.97,6194
"01612426068266","M","Alvarado Middle","Alvarado Middle",150,"New Haven Unified",484,"Alameda",1,,100,744,708,5,36,"Yes","Yes","Yes","Yes",20,17,,0,,29,29,87,5,12,30,37,16,3.46000003814697,100,0,1042,887,30.97,6194
"50711006112627","E","Hickman Charter","Hickman Charter (Alt)",5745,"Hickman Elementary",301,"Stanislaus",49,,100,725,737,3,-12,"No","No","No","No",0,0,,41,30,30,,83,1,14,30,35,21,3.61999988555908,83,17,431,253,30.97,6194
"30664646027619","E","Hanson (Ole) El","Hanson (Ole) Elementary",2883,"Capistrano Unified",108,"Orange",29,,99,762,742,3,20,"Yes","Yes","Yes","Yes",20,10,,15,18,22,,93,11,23,21,31,13,3.10999989509583,100,0,354,322,30.97,6194
"39686766042808","E","Victory Element","Victory Elementary",4882,"Stockton City Unified",716,"San Joaquin",38,,99,542,525,14,17,"Yes","Yes","Yes","Yes",76,20,,26,20,33,,99,41,42,13,5,0,1.82000005245209,92,8,558,490,30.97,6194
"54719106054043","E","Lincoln Element","Lincoln Elementary",5873,"Exeter Union Elementary",226,"Tulare",53,,98,693,504,15,189,"Yes","Yes","Yes","Yes",50,18,,9,18,,,93,28,23,27,14,8,2.50999999046326,91,9,196,177,30.97,6194
"33670586031975","E","Kennedy (John F","Kennedy (John F.) Elementary",3395,"Desert Sands Unified",180,"Riverside",32,,98,553,542,13,11,"No","No","No","No",72,31,,10,20,31,,99,31,31,29,6,4,2.22000002861023,94,6,413,364,30.97,6194
"19648086020630","E","Potrero Heights","Potrero Heights Elementary",2125,"Montebello Unified",457,"Los Angeles",18,,100,704,651,7,53,"Yes","Yes","Yes","Yes",50,27,,12,19,29,,86,7,24,36,28,6,3,79,13,247,225,30.97,6194
"20652436024038","E","Ripperdan Eleme","Ripperdan Elementary",2564,"Madera Unified",415,"Madera",19,,100,474,476,16,-2,"No","No","No","No",95,68,,33,20,33,,73,59,30,9,2,0,1.52999997138977,73,27,176,162,30.97,6194
"48705654838801","H","Vanden High","Vanden High",5594,"Travis Unified",747,"Solano",47,,100,720,707,5,13,"Yes","Yes","Yes","Yes",9,0,,11,,,27,88,2,16,34,35,13,3.42000007629395,89,11,1018,656,30.97,6194
"27660926058713","M","Los Arboles Mid","Los Arboles Middle",2765,"Monterey Peninsula Unif.",459,"Monterey",26,,100,665,639,8,26,"Yes","No","No","No",35,15,,12,,29,28,77,48,6,39,6,2,2.08999991416931,97,9,702,620,30.97,6194
"30665066028070","M","Ladera Vista Ju","Ladera Vista Junior High",2947,"Fullerton Elementary",255,"Orange",29,,100,720,700,5,20,"Yes","Yes","Yes","Yes",33,12,,12,,,27,92,14,19,24,26,18,3.13000011444092,94,6,728,618,30.97,6194
"07617546004311","E","Strandwood Elem","Strandwood Elementary",424,"Mt. Diablo Unified",473,"Contra Costa",6,,97,827,748,3,79,"Yes","Yes","Yes","Yes",9,3,,13,20,33,,92,1,10,24,34,31,3.82999992370605,95,5,290,257,30.97,6194
"50755496052575","E","Hughson Element","Hughson Elementary",5806,"Hughson Unified",310,"Stanislaus",49,,100,743,703,5,40,"Yes","Yes","Yes","Yes",51,19,"No",13,19,29,,88,22,35,24,10,8,2.47000002861023,97,3,439,385,30.97,6194
"10621666057327","M","Kings Canyon Mi","Kings Canyon Middle",677,"Fresno Unified",253,"Fresno",9,,96,485,478,16,7,"No","No","No","No",85,40,,20,,,27,71,36,24,20,17,3,2.25999999046326,94,25,1029,911,30.97,6194
"31667876031033","M","Cain (E.V.) Mid","Cain (E.V.) Middle",3271,"Auburn Union Elementary",39,"Placer",30,,100,759,760,2,-1,"No","No","No","No",24,2,,18,,,26,94,4,16,32,31,17,3.41000008583069,100,4,554,470,30.97,6194
"18641966109748","E","Meadow View Ele","Meadow View Elementary",1101,"Susanville Elementary",728,"Lassen",17,,100,752,703,5,49,"Yes","Yes","Yes","Yes",32,0,,20,18,27,,91,4,18,41,25,12,3.24000000953674,96,0,316,275,30.97,6194
"19645016013213","E","Mulhall Element","Mulhall Elementary",1321,"El Monte City Elementary",203,"Los Angeles",18,,95,528,432,18,96,"Yes","Yes","Yes","Yes",88,57,,15,22,25,,93,58,32,7,2,1,1.57000005245209,86,18,310,255,30.97,6194
"07616556070981","E","Garin Elementar","Garin Elementary",368,"Brentwood Union Elem.",80,"Contra Costa",6,,99,670,643,8,27,"Yes","No","No","No",32,14,,17,19,29,,100,11,22,34,27,6,2.97000002861023,94,9,393,322,30.97,6194
"07617966004758","E","Fairmont Elemen","Fairmont Elementary",470,"West Contra Costa Unified",796,"Contra Costa",6,,94,598,570,12,28,"Yes","Yes","Yes","No",60,16,,24,19,30,,99,7,48,22,18,5,2.67000007629395,91,4,344,281,30.97,6194
"42692296068902","E","Miguelito Eleme","Miguelito Elementary",5139,"Lompoc Unified",393,"Santa Barbara",41,,100,675,637,8,38,"Yes","Yes","Yes","Yes",42,10,,15,19,28,,91,10,22,45,18,5,2.86999988555908,97,7,373,338,30.97,6194
"36678766036867","E","Del Rosa Elemen","Del Rosa Elementary",4138,"San Bernardino City Unif",627,"San Bernardino",35,,92,603,572,11,31,"Yes","Yes","Yes","No",73,12,"No",23,20,32,,84,22,32,29,11,5,2.46000003814697,89,9,708,610,30.97,6194
"41689996044374","E","Menlo Oaks Elem","Menlo Oaks Elementary",5018,"Ravenswood City Elem",579,"San Mateo",40,,100,512,512,14,0,"No","No","No","No",100,22,,31,,28,26,92,43,22,16,15,3,2.11999988555908,57,43,262,216,30.97,6194
"19646346014468","E","Freeman (Daniel","Freeman (Daniel) Elementary",1401,"Inglewood Unified",315,"Los Angeles",18,,100,728,629,9,99,"Yes","Yes","Yes","Yes",61,3,,24,19,28,,88,1,31,42,23,3,2.96000003814697,48,48,333,239,30.97,6194
"07618046005136","E","Rancho Romero E","Rancho Romero Elementary",516,"San Ramon Valley Unified",650,"Contra Costa",6,,100,906,888,,18,"Yes","Yes","Yes","Yes",1,1,,7,19,29,,67,0,1,8,42,49,4.38000011444092,97,6,351,334,30.97,6194
"36678923636487","H","Trona High","Trona High",4176,"Trona Joint Unified",750,"San Bernardino",35,,100,588,547,13,41,"Yes","Yes","Yes","Yes",51,1,,2,,,24,92,22,41,34,3,1,2.20000004768372,100,0,166,141,30.97,6194
"19645016013239","E","Norwood Element","Norwood Elementary",1323,"El Monte City Elementary",203,"Los Angeles",18,,100,591,531,13,60,"Yes","Yes","Yes","Yes",82,50,,16,19,27,,93,43,25,18,11,4,2.0699999332428,76,14,314,277,30.97,6194
"43695756047823","E","Latimer Element","Latimer Elementary",5288,"Moreland Elementary",462,"Santa Clara",42,,99,796,765,2,31,"Yes","Yes","Yes","Yes",23,15,,17,19,28,,97,11,19,34,25,11,3.05999994277954,96,4,324,269,30.97,6194
"41688586043392","E","Bayshore Elemen","Bayshore Elementary",4948,"Bayshore Elementary",49,"San Mateo",40,,100,722,629,9,93,"Yes","Yes","Yes","Yes",57,11,,13,22,24,,97,19,46,24,11,1,2.28999996185303,94,6,131,111,30.97,6194
"33671246107890","E","Bear Valley Ele","Bear Valley Elementary",3466,"Moreno Valley Unified",463,"Riverside",32,,99,579,519,14,60,"Yes","Yes","Yes","Yes",67,24,,28,19,31,,96,16,30,36,13,5,2.60999989509583,85,10,531,428,30.97,6194
"37681223732179","H","Fallbrook High","Fallbrook High",4370,"Fallbrook Union High",232,"San Diego",36,,98,657,651,7,6,"No","No","No","No",29,18,,12,,,28,92,20,13,23,33,12,3.02999997138977,96,6,1888,988,30.97,6194
"33671736115448","E","Two Bunch Palms","Two Bunch Palms Elementary",3498,"Palm Springs Unified",531,"Riverside",32,,100,474,436,18,38,"Yes","Yes","Yes","Yes",75,41,,27,21,28,,43,44,24,22,8,2,1.99000000953674,82,45,433,378,30.97,6194
"39685856104038","E","Creekside Eleme","Creekside Elementary",4824,"Lodi Unified",390,"San Joaquin",38,,99,573,584,11,-11,"No","No","No","No",46,19,"No",25,20,30,,87,14,23,41,16,7,2.77999997138977,90,12,615,467,30.97,6194
"15635291530435","H","Kern Workforce ","Kern Workforce 2000 Academy (Charter)",963,"Kern Union High",334,"Kern",14,,90,348,347,23,1,"No","No","No","No",10,16,,67,,,,71,38,34,15,11,2,2.03999996185303,,,475,196,30.97,6194
"30665226028807","E","Paine (Thomas) ","Paine (Thomas) Elementary",3022,"Garden Grove Unified",259,"Orange",29,,100,708,641,8,67,"Yes","Yes","Yes","Yes",59,69,,14,21,31,,8,6,47,28,19,0,2.58999991416931,93,7,410,349,30.97,6194
"47705086050967","E","Gold Street Ele","Gold Street Elementary",5553,"Yreka Union Elementary",830,"Siskiyou",46,,99,699,666,7,33,"Yes","Yes","Yes","Yes",53,3,,30,20,24,,98,12,18,43,19,7,2.91000008583069,100,0,260,216,30.97,6194
"37683386040174","E","Spreckels Eleme","Spreckels Elementary",4550,"San Diego City Unified",630,"San Diego",36,,100,738,703,5,35,"Yes","Yes","Yes","Yes",48,36,,9,19,29,,76,18,10,13,25,35,3.49000000953674,97,5,474,465,30.97,6194
"16638916010367","E","Mark Twain Elem","Mark Twain Elementary",1055,"Corcoran Joint Unified",155,"Kings",15,,98,529,478,16,51,"Yes","Yes","Yes","Yes",74,9,,5,,28,,93,26,35,25,11,3,2.30999994277954,95,0,473,397,30.97,6194
"21654176024525","E","Lynwood Element","Lynwood Elementary",2594,"Novato Unified",499,"Marin",20,,96,757,772,1,-15,"No","No","No","No",42,20,,25,19,28,,90,13,18,22,19,27,3.29999995231628,100,0,297,237,30.97,6194
"45701364532750","H","Enterprise High","Enterprise High",5531,"Shasta Union High",683,"Shasta",44,,98,674,676,6,-2,"No","No","No","No",21,0,,13,,,26,89,7,17,34,28,14,3.24000000953674,100,0,996,548,30.97,6194
"50711676107023","E","Martone (Albert","Martone (Alberta) Elementary",5761,"Modesto City Elementary",449,"Stanislaus",49,,99,741,738,3,3,"Yes","No","No","No",49,9,"No",22,22,31,,85,13,24,40,14,10,2.82999992370605,100,0,644,517,30.97,6194
